Nationality,Diacritic signs,Form,Main signs,Punctuation,Total Errors
آذربایجان,11.0,42.0,186.0,96.0,335.0
آرژانتین,0.0,1.0,13.0,3.0,17.0
آفریقا,13.0,0.0,86.0,50.0,149.0
آلمان,8.0,27.0,93.0,12.0,140.0
آمریکا,6.0,25.0,52.0,14.0,97.0
اتریش,3.0,1.0,34.0,3.0,41.0
ارمنستان,8.0,19.0,133.0,18.0,178.0
ازبکستان,0.0,0.0,1.0,2.0,3.0
استرالیا,4.0,8.0,36.0,3.0,51.0
اسلواکی,2.0,2.0,12.0,4.0,20.0
اسپانیا,6.0,1.0,58.0,1.0,66.0
افغانستان,0.0,9.0,13.0,22.0,44.0
الجزایر,0.0,2.0,3.0,1.0,6.0
اندونزی,6.0,4.0,30.0,10.0,50.0
انگلستان,5.0,5.0,57.0,8.0,75.0
اوکراین,3.0,6.0,39.0,5.0,53.0
اوگاندا,0.0,1.0,10.0,3.0,14.0
ایتالیا,6.0,9.0,78.0,9.0,102.0
ایران,2.0,7.0,16.0,5.0,30.0
بحرین,2.0,10.0,42.0,113.0,167.0
بلاروس,1.0,0.0,39.0,6.0,46.0
بلغارستان,0.0,2.0,15.0,1.0,18.0
بلژیک,0.0,1.0,13.0,6.0,20.0
بنگلادش,0.0,10.0,28.0,20.0,58.0
بورکینافاسو,2.0,12.0,78.0,30.0,122.0
بوسنی و هرزگوین,1.0,5.0,14.0,23.0,43.0
تاجیکستان,2.0,40.0,225.0,89.0,356.0
تایلند,5.0,11.0,56.0,28.0,100.0
ترکیه,15.0,67.0,253.0,28.0,363.0
تونس,0.0,2.0,16.0,5.0,23.0
جمهوری چک,0.0,1.0,21.0,10.0,32.0
رواندا,2.0,2.0,21.0,4.0,29.0
روسیه,8.0,31.0,118.0,74.0,231.0
رومانی,0.0,3.0,16.0,4.0,23.0
ساحل عاج,5.0,8.0,37.0,4.0,54.0
سری‌لانکا,0.0,0.0,2.0,12.0,14.0
سنگال,0.0,1.0,13.0,5.0,19.0
سوئیس,0.0,0.0,5.0,1.0,6.0
سودان,3.0,2.0,15.0,2.0,22.0
سوریه,5.0,26.0,68.0,81.0,180.0
شیلی,0.0,0.0,3.0,1.0,4.0
صربستان,4.0,2.0,58.0,34.0,98.0
عراق,30.0,42.0,170.0,292.0,534.0
عربستان,3.0,4.0,4.0,14.0,25.0
عمان,0.0,1.0,13.0,0.0,14.0
غنا,2.0,0.0,15.0,5.0,22.0
فرانسه,3.0,6.0,75.0,14.0,98.0
فلسطین,1.0,0.0,0.0,6.0,7.0
فیلیپین,0.0,4.0,6.0,3.0,13.0
قرقیزستان,2.0,2.0,25.0,3.0,32.0
قزاقستان,1.0,5.0,43.0,2.0,51.0
لبنان,2.0,4.0,41.0,39.0,86.0
لهستان,3.0,16.0,87.0,4.0,110.0
ماداگاسکار,1.0,2.0,39.0,6.0,48.0
مالاوی,0.0,1.0,7.0,0.0,8.0
مالزی,0.0,2.0,10.0,8.0,20.0
مالی,3.0,2.0,24.0,5.0,34.0
مجارستان,8.0,7.0,46.0,17.0,78.0
مقدونیه,1.0,1.0,10.0,0.0,12.0
میانمار,0.0,1.0,12.0,29.0,42.0
نیجر,0.0,0.0,13.0,2.0,15.0
نیجریه,10.0,35.0,197.0,76.0,318.0
هلند,0.0,3.0,3.0,5.0,11.0
هند,38.0,144.0,599.0,459.0,1240.0
پاکستان,60.0,247.0,773.0,831.0,1911.0
پرتغال,3.0,2.0,31.0,3.0,39.0
چین,7.0,40.0,151.0,98.0,296.0
کامرون,8.0,6.0,44.0,41.0,99.0
کرواسی,0.0,5.0,46.0,3.0,54.0
کلمبیا,0.0,0.0,5.0,0.0,5.0
کنگو,2.0,0.0,10.0,1.0,13.0
کنیا,0.0,2.0,44.0,11.0,57.0
کویت,0.0,0.0,2.0,1.0,3.0
گامبیا,1.0,10.0,20.0,17.0,48.0
گرجستان,4.0,15.0,145.0,23.0,187.0
گینه,0.0,1.0,7.0,0.0,8.0
یمن,8.0,1.0,16.0,26.0,51.0
